,ci_course_no,test_time,ci_class_name,ci_student_number,ci_teacher_name,cr_name,cr_building
0,610GJ002,6,"化学类201班,化学类202班,化学类203班,化学类204班,化学类205班",133,李致勋,信工楼E114,信工楼
1,610GJ002,6,"食品科学与工程类204班,食品科学与工程类205班,食品科学与工程类206班,生态学201班",128,范蔚文,信工楼E214,信工楼
2,610GJ002,6,"化工与制药类201班,化工与制药类202班,化工与制药类203班,化工与制药类204班",129,柴凌,信工楼E316,信工楼
3,610GJ002,6,"高等研究院本硕实验班201班,工程力学201班,高等研究院稀土实验班201班",94,杨卫红,信工楼E414,信工楼
4,610GJ002,6,康复治疗学201班,40,魏少峰,信工楼E107,信工楼
5,610GJ002,6,临床医学2011班,48,夏勇,信工楼E226,信工楼
6,610GJ002,6,医学检验技术201班,48,陈海,信工楼E227,信工楼
7,610GJ002,6,口腔医学201班,54,李荣鑫,信工楼E330,信工楼
8,610GJ002,6,临床医学（留学生）201班,49,戴田宇,信工楼E331,信工楼
9,610GJ002,6,基础医学201班,28,万明,信工楼E109,信工楼
10,610GJ002,6,前湖学院综合实验班201班,57,余礼苏,信工楼E444,信工楼
11,610GJ001,0,"设计学类205班,设计学类206班,设计学类207班,设计学类208班",102,蔡天舸,信工楼E114,信工楼
12,610GJ001,0,"设计学类201班,设计学类202班,设计学类203班,设计学类204班",104,喻国平,信工楼E214,信工楼
13,610GJ001,0,"俄语201班,日语201班,日语202班,德语201班,法语201班,西班牙语201班",138,洪春勇,信工楼E316,信工楼
14,610GJ001,0,"绘画201班,绘画202班,绘画203班,绘画204班",101,胡军,信工楼E414,信工楼
15,550GL001,15,"计算机Ⅱ类203班,计算机Ⅱ类204班",69,魏昇,理生楼B101,理生楼
16,550GL001,15,"计算机Ⅱ类207班,计算机Ⅱ类208班",69,陈国云,理生楼B106,理生楼
17,550GL001,15,高等研究院本硕实验班201班,34,徐雪春,理生楼B201,理生楼
18,550GL001,15,高等研究院稀土实验班201班,32,刘笑兰,理生楼B202,理生楼
19,550GL001,15,计算机Ⅱ类209班,34,胡正光,理生楼B203,理生楼
20,J593KG0001,4,材料成型及控制工程194班,25,郭烈恩,机电楼D201,机电楼
21,J593KG0001,4,材料成型及控制工程192班,27,张如华,机电楼D204,机电楼
22,J593KG0001,4,材料成型及控制工程195班,26,周奎,机电楼D206,机电楼
23,J593KG0001,4,材料成型及控制工程193班,28,王洪夫,机电楼D208,机电楼
24,J593KG0001,4,材料成型及控制工程191班,28,张文钰,机电楼D301,机电楼
25,J593KG0001,4,能源与动力工程192班,30,陈建锋,机电楼D205,机电楼
26,J593KG0001,4,能源与动力工程191班,33,肖承地,机电楼D302,机电楼
27,J593KG0001,4,能源与动力工程193班,31,刘东雷,机电楼D303,机电楼
28,J593KG0001,4,机械设计制造及其自动化195班,28,黄波,机电楼D304,机电楼
29,J593KG0001,4,机械设计制造及其自动化194班,27,顾嘉,机电楼D305,机电楼
30,J593KG0001,4,机械设计制造及其自动化192班,29,李小兵,机电楼D306,机电楼
31,J593KG0001,4,机械设计制造及其自动化197班,32,董懿琼,机电楼D307,机电楼
32,J593KG0001,4,机械设计制造及其自动化193班,26,万伟民,机电楼D308,机电楼
33,J593KG0001,4,机械设计制造及其自动化191班,36,肖先锋,机电楼D202,机电楼
34,550GL005,27,"药学201班,药学202班",84,廖清华,理生楼B101,理生楼
35,550GL005,27,"药学203班,药学204班",80,徐雪春,理生楼B106,理生楼
36,550GL005,27,临床医学2011班,56,袁吉仁,理生楼B201,理生楼
37,550GL005,27,临床医学（留学生）201班,49,朱咏前,理生楼B202,理生楼
38,J593KG0002,10,食品科学与工程类195班,31,张如华,机电楼D201,机电楼
39,J593KG0002,10,食品科学与工程类192班,31,周奎,机电楼D204,机电楼
40,J593KG0002,10,食品科学与工程类196班,29,王洪夫,机电楼D206,机电楼
41,J593KG0002,10,食品科学与工程类193班,30,张文钰,机电楼D205,机电楼
42,J593KG0002,10,食品科学与工程类191班,31,陈建锋,机电楼D208,机电楼
43,J593KG0002,10,食品科学与工程类194班,30,肖承地,机电楼D301,机电楼
44,J593KG0002,10,生物工程191班,25,刘东雷,机电楼D303,机电楼
45,J593KG0002,10,光电信息科学与工程192班,22,顾嘉,机电楼D304,机电楼
46,J593KG0002,10,光电信息科学与工程191班,22,李小兵,机电楼D305,机电楼
47,J593KG0002,10,应用物理学（微电子方向）192班,30,董懿琼,机电楼D306,机电楼
48,J593KG0002,10,物理学191班,36,叶寒,机电楼D202,机电楼
49,J593KG0002,10,环境科学与工程191班,26,肖先锋,机电楼D307,机电楼
50,J593KG0002,10,环境工程191班,34,谭刚平,机电楼D302,机电楼
51,J593KG0002,10,环境工程192班,24,石志新,机电楼D308,机电楼
52,550GL003,34,智能医学工程201班,30,吴庆丰,理生楼B201,理生楼
53,J5510N0006,14,临班699,61,章晓娥,理生楼B101,理生楼
54,J5510N0006,14,临班702,83,汪祥,理生楼B106,理生楼
55,J5510N0006,14,临班1172,34,刘亚芳,理生楼B201,理生楼
56,605ZP001,12,土木类206班,29,黄筱蓉,建工楼A221,建工楼
57,605ZP001,12,"土木类207班,土木类208班",63,张红,建工楼A222,建工楼
58,605ZP001,12,"土木类203班,土木类204班",60,李怡静,建工楼A224,建工楼
59,605ZP001,12,"土木类201班,土木类202班",63,肖芬,建工楼A317,建工楼
60,605ZP001,12,环境科学与工程类204班,34,肖君,建工楼A223,建工楼
61,605ZP001,12,环境科学与工程类201班,31,杨恢武,建工楼A316,建工楼
62,605ZP001,12,环境科学与工程类203班,34,郑博福,建工楼A318,建工楼
63,605ZP001,12,环境科学与工程类205班,35,李永华,建工楼A416,建工楼
64,605ZP001,12,环境科学与工程类202班,33,魏博文,建工楼A418,建工楼
65,590GL005,24,"车辆工程203班,能源与动力工程203班",63,易光斌,机电楼D202,机电楼
66,590GL005,24,"能源与动力工程201班,能源与动力工程202班",91,余桂英,机电楼D127,机电楼
67,590GL005,24,"材料成型及控制工程203班,材料成型及控制工程204班",65,石志新,机电楼D302,机电楼
68,590GL005,24,机械设计制造及其自动化207班,32,胡贇,机电楼D201,机电楼
69,590GL005,24,"机械设计制造及其自动化205班,机械设计制造及其自动化206班",56,江雄心,机电楼D205,机电楼
70,590GL005,24,"机械设计制造及其自动化201班,机械设计制造及其自动化202班",60,张如华,机电楼D402,机电楼
71,590GL005,24,"机械设计制造及其自动化203班,机械设计制造及其自动化204班",59,周奎,机电楼D502,机电楼
72,610GJ003,3,"材料类201班,材料类202班,材料类203班,材料类204班",117,刘捷,信工楼E114,信工楼
73,610GJ003,3,"材料成型及控制工程201班,材料成型及控制工程202班,材料成型及控制工程203班,材料成型及控制工程204班",136,胡军,信工楼E214,信工楼
74,610GJ003,3,"机械设计制造及其自动化201班,机械设计制造及其自动化202班,机械设计制造及其自动化203班,机械设计制造及其自动化204班",120,涂荣军,信工楼E316,信工楼
75,610GJ003,3,"自动化201班,自动化202班,自动化203班,自动化204班",112,谢军,信工楼E414,信工楼
76,610GJ003,3,智能医学工程201班,33,饶泓,信工楼E107,信工楼
